Date,Close,High,Low,Open,Volume,Daily_Return,MA20,MA50,Month,Range,HighVolume
2020-06-04,70.3785171508789,71.72309429138843,69.96599205492319,71.4971694316438,26982000,,,,2020-06,1.7571022364652435,False
2020-06-05,71.65840148925781,71.9709103787135,70.0461071028752,70.44520002096422,42642000,0.018185724709644857,,,2020-06,1.9248032758383005,True
2020-06-08,72.05748748779297,72.10525562528537,70.88509140875318,70.974667107052,33878000,0.00556928413474278,,,2020-06,1.2201642165321829,True
2020-06-09,72.25852966308594,73.04079279119881,71.77484210279437,71.91816171630913,33624000,0.0027900247746914797,,,2020-06,1.2659506884044447,True
2020-06-10,72.88652801513672,73.28810385800969,72.37198974644225,72.72778683921254,31762000,0.008690992675590037,,,2020-06,0.9161141115674383,False
2020-06-11,69.761474609375,72.23465106938366,69.58780540266814,71.70866238072514,47144000,-0.04287559705289734,,,2020-06,2.646845666715521,True
2020-06-12,70.30985260009766,71.38421437179544,68.96030198853704,70.95376958003494,36676000,0.007860756868934615,,,2020-06,2.423912383258397,True
2020-06-15,70.69898986816406,70.91097380700297,69.02996753030666,69.14392465309821,30468000,0.005534605089840161,,,2020-06,1.8810062766963114,False
2020-06-16,71.9793701171875,72.51182051857924,71.10952825884952,72.10526358516627,30648000,0.01811030470747932,,,2020-06,1.4022922597297196,False
2020-06-17,72.28142547607422,72.76212896872691,71.415068821233,72.30133456430534,30610000,0.004196415700706391,,,2020-06,1.347060147493906,False
2020-06-18,71.36481475830078,72.30282748663723,70.9726846629474,72.14757151661824,34862000,-0.01268113781287894,,,2020-06,1.330142823689826,True
2020-06-19,70.89306640625,71.88133775111594,70.61240293282405,71.65740986390969,52784000,-0.006610377307760151,,,2020-06,1.268934818291882,True
2020-06-22,72.18787384033203,72.2023083095252,70.62186681199631,70.91148255316699,29442000,0.018264232310987838,,,2020-06,1.5804414975288807,False
2020-06-23,72.85070037841797,73.40903563217812,71.90621842213413,72.25455152562985,37752000,0.009181965097794675,,,2020-06,1.502817210043986,True
2020-06-24,71.29415130615234,73.43839511149096,71.15979153173976,72.81587541071586,31592000,-0.021366288370327724,,,2020-06,2.2786035797512056,False
2020-06-25,71.71214294433594,71.77284971319233,70.63926944685834,71.22049025097112,23958000,0.005862916249450123,,,2020-06,1.1335802663339933,False
2020-06-26,67.8028335571289,71.5091128593862,67.42762851107032,71.29065960372779,97640000,-0.05451391112717818,,,2020-06,4.0814843483158825,True
2020-06-29,69.5261001586914,69.56740658298106,67.2609287443365,67.69336296671155,45074000,0.025415849325980178,,,2020-06,2.306477838644568,True
2020-06-30,70.56513214111328,70.86121720110151,69.0165360541645,69.51167404146442,40286000,0.014944488185736127,,,2020-06,1.8446811469370061,True
2020-07-01,71.75694274902344,72.07940624191117,70.37256235703924,70.62087929232952,42182000,0.016889511459098783,71.21121673583984,,2020-07,1.7068438848719296,True
2020-07-02,73.14678192138672,74.07186348298605,72.20826818037254,72.24659051474603,57218000,0.01936870662431045,71.34962997436523,,2020-07,1.8635953026135041,True
2020-07-06,74.62571716308594,75.14075662187608,73.49761142237459,74.05345615982517,44712000,0.02021873283897402,71.49799575805665,,2020-07,1.6431451995014896,True
2020-07-07,74.14153289794922,75.70406216918913,74.13058365914364,74.45055656016098,42364000,-0.006488169005848032,71.60219802856446,,2020-07,1.57347851004549,True
2020-07-08,74.82227325439453,75.19897413072191,74.25995924949038,74.68294002022051,31766000,0.009181633152666402,71.73038520812989,,2020-07,0.9390148812315289,False
2020-07-09,75.57169342041016,76.09320218311657,74.42368620829713,75.13726983285122,41836000,0.01001600370343736,71.86464347839356,,2020-07,1.669515974819447,True
2020-07-10,76.58435821533203,76.70030474090636,74.67897031172721,75.30248471212418,35918000,0.013400054293984942,72.2057876586914,,2020-07,2.0213344291791486,True
2020-07-13,75.2517318725586,78.44297203416643,74.96958014308842,77.12825841563946,42954000,-0.017400763991864965,72.45288162231445,,2020-07,3.473391891078009,True
2020-07-14,75.68116760253906,75.77770617369718,73.94297977071558,74.28434999897787,38108000,0.005706655771162028,72.70199050903321,,2020-07,1.8347264029816017,True
2020-07-15,75.48312377929688,76.45099251906724,74.53515653534063,75.79911032958475,31026000,-0.002616817756859513,72.87717819213867,,2020-07,1.915835983726609,False
2020-07-16,75.3855972290039,75.43486121845835,74.05943310844663,74.71778467158745,26484000,-0.001292031190682108,73.03238677978516,,2020-07,1.3754281100117254,False
2020-07-17,75.48162841796875,75.80906535403365,74.5485891882386,75.48461250339587,34264000,0.00127386652748962,73.23822746276855,,2020-07,1.2604761657950547,True
2020-07-20,77.8199462890625,78.07721543774436,74.77749296936797,75.38956453557115,30166000,0.030978635730348092,73.58457145690917,,2020-07,3.2997224683763875,False
2020-07-21,77.42583465576172,78.97493191676237,77.26161883496677,78.87441455255636,27486000,-0.005064403820543073,73.84646949768066,,2020-07,1.7133130817956044,False
2020-07-22,77.87020874023438,77.97620071888103,76.79435105254424,77.41538249759988,24482000,0.005739351554275851,74.09744491577149,,2020-07,1.1818496663367881,False
2020-07-23,75.47665405273438,78.14390246974544,75.0705906466516,77.92395335639043,33910000,-0.03073774587512168,74.30657005310059,,2020-07,3.073311823093846,True
2020-07-24,75.05168914794922,75.41097153590187,74.02559650691151,74.6028386333552,29902000,-0.005630415260435839,74.47354736328126,,2020-07,1.385375028990353,False
2020-07-27,76.10763549804688,76.51220308106483,75.25670794866738,75.30298784991724,27124000,0.014069588067712635,74.88878746032715,,2020-07,1.2554951323974421,False
2020-07-28,74.82476806640625,75.93744461336621,74.6690109658058,75.88718593599701,30910000,-0.01685596225983854,75.15372085571289,,2020-07,1.268433647560414,False
2020-07-29,75.81303405761719,76.30169506581362,74.79290978342082,74.89193888511915,22676000,0.013207738784219991,75.41611595153809,,2020-07,1.5087852823927932,False
2020-07-30,76.55252075195312,76.677920690994,74.40279449452072,74.5421277601217,36042000,0.009754083892407506,75.65589485168456,,2020-07,2.2751261964732805,True
2020-07-31,74.04350280761719,74.89294207022046,72.35407768262465,74.49633966059952,91468000,-0.03277511856814885,75.70073089599609,,2020-07,2.538864387595808,True
2020-08-03,73.78524017333984,74.53017571563687,73.23586473268551,74.1952823635518,45482000,-0.0034879850963881465,75.6587070465088,,2020-08,1.2943109829513588,True
2020-08-04,73.31449127197266,74.3002797145422,72.85319570585015,73.98180262852239,37212000,-0.006379987383130836,75.61735496520996,,2020-08,1.4470840086920447,True
2020-08-05,73.60260772705078,74.14551382781045,73.21097880454894,73.4896528857235,29134000,0.0039298704809844764,75.55637168884277,,2020-08,0.9345350232615033,False
2020-08-06,74.88945007324219,74.9551379108816,73.24481674977106,73.45630713721422,33306000,0.017483651543482637,75.52225952148437,,2020-08,1.7103211611105422,True
2020-08-07,74.5620346069336,75.64286587460231,73.9599099041371,75.09299683965341,27718000,-0.004371983850707695,75.42114334106445,,2020-08,1.6829559704652013,False
2020-08-10,74.4848861694336,74.99892327445139,73.5229781582979,74.18531593243594,20546000,-0.0010346879334328651,75.3828010559082,,2020-08,1.4759451161534827,False
2020-08-11,73.67476654052734,75.1626557930458,73.55782532310258,74.34456082208418,31098000,-0.010876295454938845,75.28248100280761,,2020-08,1.6048304699432236,False
2020-08-12,75.00341033935547,75.22386058442733,73.8967019688904,74.00220039154834,22512000,0.018033905789131444,75.25849533081055,,2020-08,1.3271586155369306,False
2020-08-13,75.4716796875,76.48285191890565,75.05169051228404,75.05169051228404,22388000,0.006243307417967081,75.26279945373535,73.60348602294921,2020-08,1.4311614066216123,False
2020-08-14,74.87353515625,75.62793168989649,74.59337281689483,75.3203962515529,21942000,-0.00792541697397875,75.23239479064941,73.69338638305663,2020-08,1.0345588730016573,False
2020-08-17,75.4512710571289,75.82648373152185,74.891948664715,75.43783887619192,19990000,0.0077161563117496,75.11396102905273,73.76924377441406,2020-08,0.9345350668068448,False
2020-08-18,77.41886901855469,77.49798904405237,75.72148630647905,75.942923667668,28378000,0.02607773114830625,75.11361274719238,73.87647140502929,2020-08,1.776502737573324,False
2020-08-19,76.86302947998047,78.06976181256913,76.63362694902455,77.25515199764315,30472000,-0.007179639093423118,75.0632537841797,73.96856140136718,2020-08,1.4361348635445808,False
2020-08-20,78.43749237060547,78.63255890802547,76.357934257102,76.6321208147601,26382000,0.02048400773788228,75.21129570007324,74.07958068847657,2020-08,2.274624650923471,False
2020-08-21,78.4036636352539,79.21528172540805,77.74381628283706,78.21605349977197,34838000,-0.00043128272372261467,75.37889442443847,74.25242446899414,2020-08,1.471465442570988,True
2020-08-24,78.88038635253906,80.05626796394641,78.37729077113745,79.24464222333005,25638000,0.006080362768542846,75.51753196716308,74.42383514404297,2020-08,1.6789771928089579,False
2020-08-25,79.91045379638672,80.06122982776336,78.51860203471604,78.62907393281236,25150000,0.01305860038823825,75.77181625366211,74.60806442260743,2020-08,1.5426277930473162,False
2020-08-26,81.81533813476562,82.2462840692637,79.66811043713714,79.93284358851191,52188000,0.023837736464775716,76.07193145751953,74.80478378295898,2020-08,2.57817363212655,True
2020-08-27,81.03855895996094,82.00742232920561,80.55536494935534,81.93875040400734,31350000,-0.009494297677107744,76.29623336791992,74.97992645263672,2020-08,1.4520573798502738,False
2020-08-28,81.58145904541016,81.67700292551035,80.89375267803553,81.08583513332398,22418000,0.006699281088123232,76.67313117980957,75.18425933837891,2020-08,0.7832502474748253,False
2020-08-31,81.08882904052734,81.8337646346118,80.87982915033425,81.78748473158811,26422000,-0.006038504467156036,77.03831062316894,75.38817459106446,2020-08,0.9539354842775509,False
2020-09-01,82.36023712158203,82.56625290159603,81.08881937616468,81.21969391487622,22652000,0.01567920139060397,77.49059791564942,75.59162185668946,2020-09,1.4774335254313513,False
2020-09-02,85.4609146118164,85.89434350737906,82.61452246781315,83.00366085589854,49522000,0.03764774845969776,78.0835132598877,75.84382614135743,2020-09,3.279821039565917,True
2020-09-03,81.08782958984375,84.59555749578361,80.0030120217837,84.57166962599298,63726000,-0.0511705853118497,78.39343223571777,76.03969970703125,2020-09,4.592545473999905,True
2020-09-04,78.68431091308594,81.36051134331882,76.53259571351683,80.06719518429374,55850000,-0.029640929951081696,78.59954605102538,76.17914306640625,2020-09,4.827915629801993,True
2020-09-08,75.81751251220703,77.40740716911647,75.46419837006519,75.88717912702622,54032000,-0.036434180684959516,78.66617736816406,76.33943664550782,2020-09,1.943208799051277,True
2020-09-09,76.99340057373047,77.56516041610428,75.89564445564935,77.07649937472567,39242000,0.01550945187411834,78.83210906982421,76.4887826538086,2020-09,1.6695159604549303,True
2020-09-10,75.9394302368164,78.30860397286067,75.63837173852811,77.14019418699958,33024000,-0.013689099702834384,78.87891006469727,76.59626861572265,2020-09,2.670232234332559,True
2020-09-11,75.42738342285156,76.56892127073058,74.29579252540272,76.04393489459162,30706000,-0.0067428319170690365,78.87669525146484,76.66967742919923,2020-09,2.273128745327867,False
2020-09-14,75.08252716064453,77.47956754747086,74.89741517443528,76.21809682607592,42660000,-0.00457203003150386,78.88714485168457,76.70839233398438,2020-09,2.5821523730355835,True
2020-09-15,76.39077758789062,77.18050476355,75.7428817865187,76.03100168037477,23042000,0.0174241661371759,78.93412017822266,76.74369354248047,2020-09,1.4376229770313103,False
2020-09-16,75.24475860595703,77.34869819515173,75.21987604229885,76.75702925240749,22128000,-0.015002059386227007,78.82541465759277,76.76575805664062,2020-09,2.1288221528528766,False
2020-09-17,73.99822235107422,74.57645916447423,72.77507377439086,73.93701442817141,40008000,-0.016566419747728767,78.68217430114746,76.74927703857422,2020-09,1.801385390083368,True
2020-09-18,72.20926666259766,74.40427775863802,71.24040328279774,74.06091812890595,63056000,-0.02417565762578877,78.37076301574707,76.68202850341797,2020-09,3.1638744758402737,True
2020-09-21,71.16676330566406,71.66039786094642,69.80029514123461,71.2404087126211,56908000,-0.014437251686888808,78.00891799926758,76.5736766052246,2020-09,1.8601027197118043,True
2020-09-22,72.64369201660156,72.85020894355684,71.13490659228187,72.17095367719028,33950000,0.020753068459697044,77.6970832824707,76.52151580810546,2020-09,1.7153023512749712,True
2020-09-23,70.13419342041016,72.30830088742725,69.80029475994638,72.25903690168364,37726000,-0.03454530636490638,77.20827026367188,76.4105763244629,2020-09,2.5080061274808685,True
2020-09-24,70.80448150634766,71.5573821324961,69.7739091004015,69.80028750186223,34552000,0.009557222422442946,76.65772743225098,76.3170034790039,2020-09,1.783473032094605,True
2020-09-25,71.61064147949219,71.95299885267112,70.04910673612386,70.91347406076004,30326000,0.011385719604094069,76.18633155822754,76.24150436401368,2020-09,1.9038921165472544,False
2020-09-28,72.58596801757812,73.29905809078035,71.96991766342995,73.2493005572153,30784000,0.013619854786041108,75.73655700683594,76.18359115600586,2020-09,1.3291404273503957,False
2020-09-29,72.95222473144531,73.24979803297072,72.35407885679199,72.84722744607932,31816000,0.00504583356632371,75.32972679138183,76.08623672485352,2020-09,0.89571917617873,False
2020-09-30,72.93132019042969,73.95641806188155,72.4416644288499,72.69942714285969,40924000,-0.00028655111057385163,74.85828094482422,75.99634643554687,2020-09,1.5147536330316456,True
2020-10-01,74.04100036621094,74.39779972735059,73.48864093811763,73.8300111376945,32884000,0.015215413252958943,74.28728523254395,75.9197622680664,2020-10,0.9091587892329613,True
2020-10-02,72.43370056152344,73.5996275418768,72.02316481739436,72.63424173336936,31222000,-0.0217082399851124,73.85457878112793,75.85890319824219,2020-10,1.5764627244824396,False
2020-10-05,73.78871154785156,73.88176488101534,72.65712075323188,72.78451004498942,21602000,0.018706913713143924,73.60979881286622,75.83364364624023,2020-10,1.2246441277834634,False
2020-10-06,72.20579528808594,73.87282086187555,71.90672613927885,73.4239703631467,26096000,-0.021452011107947255,73.42921295166016,75.75560684204102,2020-10,1.9660947225967078,False
2020-10-07,72.60985565185547,73.09901783970815,71.32051821827476,72.61831435660335,36108000,0.0055959547589969905,73.21003570556641,75.71130859375,2020-10,1.7784996214333972,True
2020-10-08,73.8185806274414,74.04748199645591,72.9238561559873,72.9238561559873,26076000,0.016646844491489565,73.10399322509765,75.67141952514649,2020-10,1.1236258404686197,False
2020-10-09,75.16314697265625,75.23281359404584,73.99622536956137,74.28783048431298,32966000,0.018214470310677022,73.0907814025879,75.64363204956055,2020-10,1.2365882244844641,True
