Date,Predicted_Close
2025-06-03,169.0945836647735
2025-06-04,169.1023216672993
2025-06-05,169.3294299464162
2025-06-06,169.42823748038913
2025-06-07,169.4755175523302
2025-06-08,169.4796582492182
2025-06-09,169.47398449392068
2025-06-10,169.46754686431805
2025-06-11,169.46419128237045
2025-06-12,169.46304540720817
2025-06-13,169.46301055572457
2025-06-14,169.46325706902576
2025-06-15,169.46346378686232
2025-06-16,169.4635642238886
2025-06-17,169.46359238040617
2025-06-18,169.46358945706325
2025-06-19,169.46358018988133
2025-06-20,169.46357359590178
2025-06-21,169.46357070743875
2025-06-22,169.46357006913806
2025-06-23,169.46357028510158
2025-06-24,169.46357061403498
2025-06-25,169.46357081970905
2025-06-26,169.46357090001118
2025-06-27,169.46357091215637
2025-06-28,169.46357090174925
2025-06-29,169.4635708905222
2025-06-30,169.46357088425933
2025-07-01,169.46357088211488
2025-07-02,169.46357088198238
